"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.20";"2019-02-20 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.57";"2019-02-15 00:00:00"
"Pelham Capital Ltd.";"ARCADIS N.V.";"NL0006237562";"1.56";"2019-02-14 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.10";"2019-02-13 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"1.30";"2019-02-11 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"1.01";"2019-02-08 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.09";"2019-02-05 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.28";"2019-02-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.40";"2019-02-05 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.30";"2019-02-04 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.90";"2019-02-04 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.10";"2019-02-01 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"1.28";"2019-02-01 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.29";"2019-01-31 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.19";"2019-01-28 00:00:00"
"PDT Partners, LLC";"PostNL N.V.";"NL0009739416";"0.50";"2019-01-28 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.57";"2019-01-28 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.81";"2019-01-28 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.46";"2019-01-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.31";"2019-01-24 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.71";"2019-01-21 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.29";"2019-01-18 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.79";"2019-01-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.28";"2019-01-16 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.62";"2019-01-16 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.36";"2019-01-15 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.78";"2019-01-14 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.42";"2019-01-11 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.79";"2019-01-10 00:00:00"
"Davidson Kempner European Partners, LLP";"BE Semiconductor Industries N.V.";"NL0012866412";"0.80";"2019-01-09 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.38";"2019-01-09 00:00:00"
"BlueMountain Capital Management, LLC";"AMG Advanced Metallurgical Group N.V.";"NL0000888691";"0.58";"2019-01-08 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.49";"2019-01-07 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.38";"2019-01-07 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.87";"2019-01-07 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.40";"2019-01-04 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.33";"2019-01-04 00:00:00"
"Marshall Wace LLP";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.89";"2019-01-03 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.49";"2019-01-03 00:00:00"
"Connor, Clark & Lunn Investment Management Ltd.";"Wereldhave N.V.";"NL0000289213";"0.68";"2018-12-31 00:00:00"
"Marshall Wace Asia Limited";"ARCADIS N.V.";"NL0006237562";"1.35";"2018-12-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"2.55";"2018-12-28 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.49";"2018-12-28 00:00:00"
"Scopia Capital Management LP";"BE Semiconductor Industries N.V.";"NL0012866412";"3.55";"2018-12-27 00:00:00"
