"Positie houder";"Naam van de emittent";"ISIN";"Netto Shortpositie";"Positiedatum"
"JPMorgan Asset Management (UK) Ltd.";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.72";"2018-03-20 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.20";"2018-03-19 00:00:00"
"Systematica Investments Limited";"Fugro N.V.";"NL0000352565";"0.50";"2018-03-19 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.32";"2018-03-16 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.13";"2018-03-15 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.21";"2018-03-14 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.30";"2018-03-14 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.20";"2018-03-13 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.02";"2018-03-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.99";"2018-03-08 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.91";"2018-03-07 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.99";"2018-03-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.01";"2018-03-05 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.84";"2018-03-02 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.58";"2018-03-01 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.45";"2018-03-01 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.10";"2018-02-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.94";"2018-02-27 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.88";"2018-02-26 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.71";"2018-02-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.90";"2018-02-23 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.68";"2018-02-20 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.89";"2018-02-19 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.90";"2018-02-15 00:00:00"
"Toscafund Asset Management LLP";"Wereldhave N.V.";"NL0000289213";"0.62";"2018-02-15 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"2.09";"2018-02-14 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.69";"2018-02-14 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.10";"2018-02-13 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"2.12";"2018-02-12 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.70";"2018-01-26 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.69";"2018-01-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.88";"2018-01-17 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.90";"2018-01-16 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.78";"2018-01-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.89";"2018-01-12 00:00:00"
"Toscafund Asset Management LLP";"Wereldhave N.V.";"NL0000289213";"0.57";"2018-01-12 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.44";"2018-01-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.82";"2018-01-09 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.95";"2018-01-08 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"1.01";"2018-01-08 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.08";"2018-01-05 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.79";"2017-12-29 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.90";"2017-12-20 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.39";"2017-12-18 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.19";"2017-12-14 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.82";"2017-12-14 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.20";"2017-12-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"1.99";"2017-12-13 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"2.24";"2017-12-08 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"2.14";"2017-12-04 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.18";"2017-12-04 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"2.06";"2017-12-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.08";"2017-11-30 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.90";"2017-11-29 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.80";"2017-11-28 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.80";"2017-11-27 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.72";"2017-11-21 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.61";"2017-11-17 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.53";"2017-11-15 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.70";"2017-11-15 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.42";"2017-11-13 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.31";"2017-11-08 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.70";"2017-11-08 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.18";"2017-11-08 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.48";"2017-11-06 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.28";"2017-11-03 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.73";"2017-11-02 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"1.10";"2017-11-02 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.21";"2017-11-01 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"0.92";"2017-11-01 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"0.84";"2017-10-31 00:00:00"
"Sculptor Capital Management Europe Limited";"Fugro N.V.";"NL0000352565";"0.57";"2017-10-30 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.62";"2017-10-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.69";"2017-10-27 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.50";"2017-10-24 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.11";"2017-10-24 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.60";"2017-10-23 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.20";"2017-10-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.43";"2017-10-20 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.29";"2017-10-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.31";"2017-10-16 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"1.00";"2017-10-11 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.20";"2017-10-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.79";"2017-10-10 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.31";"2017-10-09 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.88";"2017-10-04 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.10";"2017-10-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.39";"2017-09-30 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.10";"2017-09-28 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.92";"2017-09-27 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.89";"2017-09-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.48";"2017-09-26 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.90";"2017-09-25 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"2.00";"2017-09-22 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Boskalis Westminster N.V.";"NL0000852580";"0.50";"2017-09-20 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.59";"2017-09-20 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.99";"2017-09-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.90";"2017-09-14 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.82";"2017-09-08 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.09";"2017-09-08 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.80";"2017-09-07 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.69";"2017-09-06 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.19";"2017-09-01 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.71";"2017-08-31 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.70";"2017-08-31 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"1.00";"2017-08-29 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.62";"2017-08-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.69";"2017-08-25 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.29";"2017-08-23 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.70";"2017-08-22 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.51";"2017-08-21 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.35";"2017-08-17 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.40";"2017-08-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.78";"2017-08-14 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.41";"2017-08-10 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.60";"2017-08-09 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.30";"2017-08-04 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.30";"2017-08-02 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.29";"2017-07-31 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.81";"2017-07-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.31";"2017-07-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.41";"2017-07-27 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.20";"2017-07-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.71";"2017-07-20 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"0.90";"2017-07-19 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.68";"2017-07-18 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.70";"2017-07-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.61";"2017-07-13 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.10";"2017-07-12 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.52";"2017-07-06 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.61";"2017-07-06 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"0.86";"2017-07-05 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.53";"2017-07-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.47";"2017-06-30 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"1.01";"2017-06-27 00:00:00"
"AQR Capital Management, LLC";"OCI N.V.";"NL0010558797";"0.50";"2017-06-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.40";"2017-06-23 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.31";"2017-06-23 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.22";"2017-06-21 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.36";"2017-06-20 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"0.91";"2017-06-19 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.90";"2017-06-19 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.21";"2017-06-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.19";"2017-06-08 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.20";"2017-06-06 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.10";"2017-06-06 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.80";"2017-05-25 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.03";"2017-05-24 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"0.80";"2017-05-19 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.18";"2017-05-16 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.90";"2017-05-15 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.71";"2017-05-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.20";"2017-05-11 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.89";"2017-05-11 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.90";"2017-05-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.19";"2017-04-27 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.80";"2017-04-13 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"0.70";"2017-04-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.28";"2017-04-11 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.70";"2017-04-06 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"0.69";"2017-04-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.37";"2017-04-05 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.69";"2017-04-04 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.70";"2017-04-03 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.69";"2017-03-30 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.49";"2017-03-28 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.20";"2017-03-28 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.11";"2017-03-27 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.60";"2017-03-21 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.59";"2017-03-20 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.60";"2017-03-17 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.79";"2017-03-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.59";"2017-03-07 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.80";"2017-03-02 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"1.00";"2017-02-24 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.70";"2017-02-22 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.69";"2017-02-21 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.70";"2017-02-20 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.68";"2017-02-17 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.65";"2017-02-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.71";"2017-02-09 00:00:00"
"AQR Capital Management, LLC";"Koninklijke Vopak N.V.";"NL0009432491";"0.50";"2017-02-07 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"0.70";"2017-02-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.61";"2017-02-02 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0.90";"2017-01-24 00:00:00"
"AQR Capital Management, LLC";"Altice Europe N.V.";"NL0011333752";"0.69";"2017-01-19 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.59";"2017-01-13 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0.80";"2017-01-12 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.68";"2017-01-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.74";"2017-01-09 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0.71";"2017-01-04 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.88";"2017-01-04 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0.63";"2017-01-03 00:00:00"
"Lansdowne Partners (UK) LLP";"ARCADIS N.V.";"NL0006237562";"0.57";"2017-01-02 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.99";"2016-12-30 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.00";"2016-12-28 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.98";"2016-12-14 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"1.00";"2016-11-23 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.95";"2016-11-14 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.83";"2016-11-10 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.72";"2016-11-08 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.61";"2016-11-01 00:00:00"
"Marshall Wace LLP";"ARCADIS N.V.";"NL0006237562";"0.59";"2016-10-27 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.58";"2016-10-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.67";"2016-09-05 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.70";"2016-09-02 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.69";"2016-08-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.71";"2016-08-03 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.69";"2016-07-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.72";"2016-05-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.60";"2016-05-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.50";"2016-05-02 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.40";"2016-04-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.31";"2016-04-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.29";"2016-03-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.30";"2016-03-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.21";"2016-03-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.18";"2016-03-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.27";"2016-02-24 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.31";"2016-02-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.20";"2016-02-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.19";"2016-02-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.29";"2015-12-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.38";"2015-11-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.49";"2015-10-20 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.58";"2015-10-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.60";"2015-10-01 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.59";"2015-09-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.60";"2015-09-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.58";"2015-07-30 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.69";"2015-06-30 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.70";"2015-06-29 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.68";"2015-06-15 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.78";"2015-05-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.89";"2015-05-11 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.96";"2015-04-28 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.07";"2015-04-22 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.15";"2015-04-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.20";"2015-04-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.30";"2015-03-25 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.25";"2015-03-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.33";"2015-03-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.27";"2015-02-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.30";"2015-02-13 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.28";"2015-02-10 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.30";"2015-02-09 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.29";"2015-02-06 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.37";"2015-02-04 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.40";"2015-01-26 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.32";"2015-01-23 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.24";"2015-01-22 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"3.13";"2015-01-16 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.98";"2015-01-14 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.80";"2014-12-18 00:00:00"
"AQR Capital Management, LLC";"SBM Offshore N.V.";"NL0000360618";"2.72";"2014-12-17 00:00:00"
