AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;25/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;26/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;26/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;27/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;27/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;28/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;28/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,61%;29/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;29/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,70%;30/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;30/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;31/05/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;31/05/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;01/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;01/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;02/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;02/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;03/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;03/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;04/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;04/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;05/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;05/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;06/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;06/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;07/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;07/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;08/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;08/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;09/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;09/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;10/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;10/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;11/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;11/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;12/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;12/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;13/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;13/06/2013
Marshall Wace LLP;Proximus;BE0003810273;0,69%;14/06/2013
AKO Capital LLP for AKO Master Fund Limited;Proximus;BE0003810273;1,12%;14/06/2013
